row_id,algorithm,fid,instance,dim,run,seed,best_error,evaluations,generations,wall_time
112,fixed:rand/1,5,1,5,12,12592750624658728895,0.34581380044389576,2500,50,0.8939959999988787
113,fixed:rand/1,5,1,5,13,10215001326567495579,0.5081964943330934,2500,50,1.3062936670030467
114,fixed:rand/1,5,1,5,14,120877885882547796,0.33805405500201147,2500,50,0.9690587919903919
115,fixed:rand/1,5,1,5,15,8722483719166045131,0.22518271893633113,2500,50,1.0635591670288704
116,fixed:rand/1,5,1,5,16,9830686878114793011,0.2263630651423547,2500,50,1.1353994579985738
117,fixed:rand/1,5,1,5,17,8321086537628567770,0.3668263943008796,2500,50,1.1744166249991395
118,fixed:rand/1,5,1,5,18,3912100969117214776,0.5603032863168576,2500,50,0.9667899159830995
119,fixed:rand/1,5,1,5,19,4221851497856033096,0.5552380583779346,2500,50,1.2987059160368517
120,fixed:rand/1,5,1,5,20,15370567390467037983,0.4292942646715936,2500,50,1.147025709040463
121,fixed:rand/1,5,1,5,21,12085118979223140495,0.4600930359157651,2500,50,1.0227402920136228
122,fixed:rand/1,5,1,5,22,16410662026294549536,0.6492225893194412,2500,50,1.083359999989625
123,fixed:rand/1,5,1,5,23,3162364705643461800,0.2930028498858519,2500,50,1.1162843749625608
124,fixed:rand/1,5,1,5,24,11088276194121361191,0.44958029697330204,2500,50,1.2019769999897107
125,fixed:rand/1,6,1,5,0,6411463839261603740,0.7134529345544323,2500,50,1.0788855419959873
126,fixed:rand/1,6,1,5,1,10251453715800842263,0.5533163646974373,2500,50,1.1938287080265582
127,fixed:rand/1,6,1,5,2,9217901855180259359,0.4759080423507953,2500,50,1.251351791957859
128,fixed:rand/1,6,1,5,3,6306820977237538165,0.3116698251327108,2500,50,0.9494031249778345
129,fixed:rand/1,6,1,5,4,14782083595743975625,0.96441385270181,2500,50,1.0524383329902776
130,fixed:rand/1,6,1,5,5,1856795525094975918,0.7283545086734051,2500,50,1.0802549999789335
131,fixed:rand/1,6,1,5,6,16708319420838020737,0.32151325039414047,2500,50,1.2239668750553392
132,fixed:rand/1,6,1,5,7,10725327029446907663,0.33933152644185327,2500,50,0.9700829170178622
133,fixed:rand/1,6,1,5,8,8478882664921883829,0.7180733856646739,2500,50,1.0840781669830903
134,fixed:rand/1,6,1,5,9,16764946015648120738,0.173482067890383,2500,50,1.129281625035219
135,fixed:rand/1,6,1,5,10,7954635024070329446,1.2539484614259777,2500,50,1.0606098749558441
136,fixed:rand/1,6,1,5,11,12563296505660248746,0.71472304711466,2500,50,1.1252141250297427
137,fixed:rand/1,6,1,5,12,10850801591410541740,0.43845224650043946,2500,50,1.0774780419887975
138,fixed:rand/1,6,1,5,13,15457518261140081588,0.31457247885582973,2500,50,1.0920760830049403
139,fixed:rand/1,6,1,5,14,9450554785328689742,0.17812292577269773,2500,50,0.9566748749930412
140,fixed:rand/1,6,1,5,15,17281626521881838795,0.9242590720860235,2500,50,1.0212566249538213
141,fixed:rand/1,6,1,5,16,9285904503559694826,0.24760520924017015,2500,50,1.0959337910171598
142,fixed:rand/1,6,1,5,17,2015351157139051784,0.32624760060440394,2500,50,1.0145184579887427
143,fixed:rand/1,6,1,5,18,9119325369959873403,1.2987432960922405,2500,50,1.1801398749812506
144,fixed:rand/1,6,1,5,19,15499760564960093156,0.16316848988974186,2500,50,0.9238262079888955
145,fixed:rand/1,6,1,5,20,8296490279838803649,0.24949870656668338,2500,50,0.977934374997858
